Altium Designer Pick and Place Locations
C:\Repo\superlongboard-ext\Project Outputs for Longboard_32bit_ext\Longboard_32bit_ext_GERBERS_B8\Pick Place\Longboard_32bit_ext_CAM_B8_FULL_PLACE.txt

========================================================================================================================
File Design Information:

Date:       08-04-24
Time:       09:55
Revision:   cb85c39abfa762ddce52b153b08f97281b9a1709
Variant:    FULL_PLACE
Units used: mil

Designator Comment                     Layer       Footprint                          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                          
P13        C9135                       TopLayer    61200821621                        2569.685      3419.488      270      "Male Box Header WR-BHD, THT, Vertical, pitch 2.54 mm, 8 pins"                                                                       
D64        "0603 Red"                  TopLayer    0603_LED_S1                        1505.906      3503.937      0        "-40?~+85? Red 0603 Light Emitting Diodes (LED) ROHS"                                                                                
D63        "0603 Red"                  TopLayer    0603_LED_S1                        1505.906      3577.756      0        "-40?~+85? Red 0603 Light Emitting Diodes (LED) ROHS"                                                                                
D62        "0603 Red"                  TopLayer    0603_LED_S1                        1505.906      3651.575      0        "-40?~+85? Red 0603 Light Emitting Diodes (LED) ROHS"                                                                                
D61        "0603 Red"                  TopLayer    0603_LED_S1                        1505.118      3725.394      0        "-40?~+85? Red 0603 Light Emitting Diodes (LED) ROHS"                                                                                
D60        "0603 LED Green"            TopLayer    0603_LED_S1_-_GREEN                2199.803      3518.701      0        "20mA -40?~+85? 515nm~530nm Emerald 120° 60mW 0603 Light Emitting Diodes (LED) ROHS"                                                 
D59        "0603 LED Green"            TopLayer    0603_LED_S1_-_GREEN                2199.803      3592.520      0        "20mA -40?~+85? 515nm~530nm Emerald 120° 60mW 0603 Light Emitting Diodes (LED) ROHS"                                                 
D52        "0603 LED Green"            TopLayer    0603_LED_S1_-_GREEN                2199.803      3666.339      0        "20mA -40?~+85? 515nm~530nm Emerald 120° 60mW 0603 Light Emitting Diodes (LED) ROHS"                                                 
D51        "0603 LED Green"            TopLayer    0603_LED_S1_-_GREEN                2199.803      3740.157      0        "20mA -40?~+85? 515nm~530nm Emerald 120° 60mW 0603 Light Emitting Diodes (LED) ROHS"                                                 
C145       "10uF 100V"                 TopLayer    1210_C                             5821.850      2878.937      180      "Chip capacitors"                                                                                                                    
C144       "10uF 100V"                 TopLayer    1210_C                             5821.850      2736.220      180      "Chip capacitors"                                                                                                                    
C115       "10uF 100V"                 TopLayer    1210_C                             5821.850      3021.653      180      "Chip capacitors"                                                                                                                    
P12        HR911105A                   TopLayer    HANRUN_HR911105A                   7928.347      3420.276      270      "HR911105A Ethernet Interface Arduino Platform Evaluation Expansion Board"                                                           
R16        "1KO ±1%"                   TopLayer    0402_R                             4706.693      2317.913      0        "Chip resistor"                                                                                                                      
D8         "0603 Yellow"               TopLayer    0603_LED_S1_-_YELLOW               4612.008      2814.961      0        "-40?~+85? 585.5nm~591.5nm Yellow 120° 60mW 0603 Light Emitting Diodes (LED) ROHS"                                                   
U2_Y2L     EL357N(B)(TA)-G             TopLayer    SOP-4_P2.54                        4000.197      2219.488      270      "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                                          
U2_ZL      EL357N(B)(TA)-G             TopLayer    SOP-4_P2.54                        4369.291      2219.488      270      "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                                          
U2_Y1L     EL357N(B)(TA)-G             TopLayer    SOP-4_P2.54                        3636.023      2219.488      270      "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                                          
U2_XL      EL357N(B)(TA)-G             TopLayer    SOP-4_P2.54                        3271.850      2219.488      270      "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                                          
R23_Y2L    "1KO ±1%"                   TopLayer    0603_R                             4003.976      2431.102      0        "Chip resistor"                                                                                                                      
R23_ZL     "1KO ±1%"                   TopLayer    0603_R                             4388.976      2431.102      0        "Chip resistor"                                                                                                                      
R23_Y1L    "1KO ±1%"                   TopLayer    0603_R                             3637.519      2431.102      0        "Chip resistor"                                                                                                                      
R23_XL     "1KO ±1%"                   TopLayer    0603_R                             3271.063      2431.102      0        "Chip resistor"                                                                                                                      
R22_Y2L    "4.7KO ±1%"                 TopLayer    0402_R                             4035.433      1988.189      270      "Chip resistor"                                                                                                                      
R22_ZL     "4.7KO ±1%"                 TopLayer    0402_R                             4404.528      1988.189      270      "Chip resistor"                                                                                                                      
R22_Y1L    "4.7KO ±1%"                 TopLayer    0402_R                             3690.158      1988.189      270      "Chip resistor"                                                                                                                      
R22_XL     "4.7KO ±1%"                 TopLayer    0402_R                             3271.850      1988.189      270      "Chip resistor"                                                                                                                      
R15        "1KO ±1%"                   TopLayer    0402_R                             4704.725      2372.047      0        "Chip resistor"                                                                                                                      
R14        "1KO ±1%"                   TopLayer    0402_R                             4704.725      2426.181      0        "Chip resistor"                                                                                                                      
R13        "1KO ±1%"                   TopLayer    0402_R                             4704.724      2480.315      0        "Chip resistor"                                                                                                                      
D7         "0603 Yellow"               TopLayer    0603_LED_S1_-_YELLOW               4611.221      2741.142      0        "-40?~+85? 585.5nm~591.5nm Yellow 120° 60mW 0603 Light Emitting Diodes (LED) ROHS"                                                   
D6         "0603 Yellow"               TopLayer    0603_LED_S1_-_YELLOW               4612.008      2667.323      0        "-40?~+85? 585.5nm~591.5nm Yellow 120° 60mW 0603 Light Emitting Diodes (LED) ROHS"                                                   
D5         "0603 Yellow"               TopLayer    0603_LED_S1_-_YELLOW               4611.221      2593.504      0        "-40?~+85? 585.5nm~591.5nm Yellow 120° 60mW 0603 Light Emitting Diodes (LED) ROHS"                                                   
C3_Y2L     100nF                       TopLayer    0402_C                             3980.512      1988.189      270      "16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
C3_ZL      100nF                       TopLayer    0402_C                             4349.606      1988.189      270      "16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
C3_Y1L     100nF                       TopLayer    0402_C                             3636.811      1988.189      270      "16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
C3_XL      100nF                       TopLayer    0402_C                             3218.504      1988.189      270      "16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
U49        EL357N(B)(TA)-G             TopLayer    SOP-4_P2.54                        4182.283      2219.488      270      "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                                          
U48        EL357N(B)(TA)-G             TopLayer    SOP-4_P2.54                        4556.299      2219.488      270      "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                                          
U47        EL357N(B)(TA)-G             TopLayer    SOP-4_P2.54                        3818.110      2219.488      270      "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                                          
U46        ADUM1200ARZ-RL7             TopLayer    SOIC-8_150mil                      2883.858      2076.772      0        "Dual Channel Isolator"                                                                                                              
U45        ADUM1200ARZ-RL7             TopLayer    SOIC-8_150mil                      2608.268      2076.772      0        "Dual Channel Isolator"                                                                                                              
U39        EL357N(B)(TA)-G             TopLayer    SOP-4_P2.54                        3453.937      2219.488      270      "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                                          
R195       "1KO ±1%"                   TopLayer    0603_R                             4187.204      2431.102      0        "Chip resistor"                                                                                                                      
R194       "10KO ±1%"                  TopLayer    0402_R                             4207.677      1988.189      270      "Chip resistor"                                                                                                                      
R193       "1KO ±1%"                   TopLayer    0603_R                             4556.299      2431.102      0        "Chip resistor"                                                                                                                      
R192       "200O ±1%"                  TopLayer    0603_R                             2917.401      2292.944      90       "Chip resistor"                                                                                                                      
R191       "200O ±1%"                  TopLayer    0603_R                             2843.582      2292.944      90       "Chip resistor"                                                                                                                      
R190       "200O ±1%"                  TopLayer    0603_R                             2636.874      2292.943      90       "Chip resistor"                                                                                                                      
R189       "200O ±1%"                  TopLayer    0603_R                             2563.056      2292.943      90       "Chip resistor"                                                                                                                      
R81        "10KO ±1%"                  TopLayer    0402_R                             4581.693      1988.189      270      "Chip resistor"                                                                                                                      
R80        "1KO ±1%"                   TopLayer    0603_R                             3820.748      2431.102      180      "Chip resistor"                                                                                                                      
R79        "10KO ±1%"                  TopLayer    0402_R                             3852.559      1988.189      270      "Chip resistor"                                                                                                                      
R78        "1KO ±1%"                   TopLayer    0603_R                             3454.291      2431.102      0        "Chip resistor"                                                                                                                      
R27        "10KO ±1%"                  TopLayer    0402_R                             3458.858      1988.189      270      "Chip resistor"                                                                                                                      
D48        SS210                       TopLayer    SMA(DO-214AC)_S1                   6417.323      3331.693      180      "100V 2A 850mV @ 2A SMA(DO-214AC) Schottky Barrier Diodes (SBD) ROHS"                                                                
C138       100nF                       TopLayer    0402_C                             4152.756      1988.189      270      "16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
C137       100nF                       TopLayer    0402_C                             4526.772      1988.189      270      "16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
C136       100nF                       TopLayer    0603_C                             2745.157      2007.510      270      "Chip capacitors"                                                                                                                    
C51        100nF                       TopLayer    0402_C                             3405.512      1988.189      270      "16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
FID3       Fiducial                    TopLayer    Fiducial10-20                      1176.181      226.378       90       "FIDUCIAL NO ASSEMBLY"                                                                                                               
C122       100nF                       TopLayer    0603_C                             2469.552      2140.384      270      "Chip capacitors"                                                                                                                    
C110       6.8nF                       TopLayer    0402_C                             7519.685      3548.228      180      "Chip capacitors"                                                                                                                    
C108       100nF                       TopLayer    0603_C                             6413.207      1973.425      90       "50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
D22        ZMM5V6-M                    TopLayer    LL-34                              3425.197      2957.677      180      "Single 500mW 5.2V~6V 5.6V LL-34 Zener Diodes ROHS"                                                                                  
C116       100nF                       TopLayer    0603_C                             2745.157      2140.384      270      "Chip capacitors"                                                                                                                    
C114       1nF                         TopLayer    1206_C                             7475.394      3681.102      0        "Chip capacitors"                                                                                                                    
FID2       Fiducial                    TopLayer    Fiducial10-20                      5177.165      2278.543      90       "FIDUCIAL NO ASSEMBLY"                                                                                                               
R126       "0.003O ±1%"                TopLayer    1206_R                             7578.740      2667.323      90       "Chip Resistor"                                                                                                                      
U38        ADUM1200ARZ-RL7             TopLayer    SOIC-8_150mil                      2160.433      2062.008      270      "Dual Channel Isolator"                                                                                                              
U37        ADUM1200ARZ-RL7             TopLayer    SOIC-8_150mil                      2170.276      2342.520      270      "Dual Channel Isolator"                                                                                                              
U27        ADUM1200ARZ-RL7             TopLayer    SOIC-8_150mil                      2175.197      2623.032      270      "Dual Channel Isolator"                                                                                                              
U26        ADUM1200ARZ-RL7             TopLayer    SOIC-8_150mil                      2175.197      2908.465      270      "Dual Channel Isolator"                                                                                                              
C50        100nF                       TopLayer    0603_C                             2106.299      2480.315      180      "Chip capacitors"                                                                                                                    
C49        100nF                       TopLayer    0603_C                             2239.173      2480.315      180      "Chip capacitors"                                                                                                                    
C48        100nF                       TopLayer    0603_C                             2096.457      2199.803      180      "Chip capacitors"                                                                                                                    
C47        100nF                       TopLayer    0603_C                             2229.331      2199.803      180      "Chip capacitors"                                                                                                                    
C46        1uF                         TopLayer    0603_C                             2810.039      3016.732      180      "Chip capacitors"                                                                                                                    
C45        100nF                       TopLayer    0603_C                             2942.913      3016.732      0        "Chip capacitors"                                                                                                                    
C44        100nF                       TopLayer    0603_C                             2101.014      3047.218      180      "Chip capacitors"                                                                                                                    
C43        100nF                       TopLayer    0603_C                             2238.810      2761.774      180      "Chip capacitors"                                                                                                                    
C42        100nF                       TopLayer    0603_C                             2105.936      2761.774      180      "Chip capacitors"                                                                                                                    
C41        100nF                       TopLayer    0603_C                             2233.888      3047.218      180      "Chip capacitors"                                                                                                                    
C40        1uF                         TopLayer    0603_C                             4089.567      3016.732      180      "Chip capacitors"                                                                                                                    
C6         100nF                       TopLayer    0603_C                             4222.441      3016.732      0        "Chip capacitors"                                                                                                                    
U25        74LVC1G08GW,125             TopLayer    DCK0005A_M                         7805.118      2199.803      270      "Single 2-Input Positive-AND Gate, DCK0005A"                                                                                         
R204       "1KO ±1%"                   TopLayer    0603_R                             7294.882      3616.068      270      "Chip resistor"                                                                                                                      
R203       "1KO ±1%"                   TopLayer    0603_R                             7544.291      2426.181      270      "Chip resistor"                                                                                                                      
R201       "330KO ±1%"                 TopLayer    0603_R                             5890.748      2524.606      90       "Chip resistor"                                                                                                                      
R200       "1KO ±1%"                   TopLayer    0603_R                             6120.675      1973.425      90       "Chip resistor"                                                                                                                      
R199       "470KO ±1%"                 TopLayer    0603_R                             7559.055      2032.480      90       "Chip resistor"                                                                                                                      
R198       "4.7KO ±1%"                 TopLayer    0603_R                             7485.236      1888.976      90       "Chip resistor"                                                                                                                      
R197       "10KO ±1%"                  TopLayer    0603_R                             7470.472      2352.362      90       "Chip resistor"                                                                                                                      
Q17        BSS123                      TopLayer    SOT-23-3L                          7204.724      2017.716      90       "100V 170mA 6O@10V 350mW 2.5V@250uA N Channel SOT-23 MOSFETs ROHS"                                                                   
Q16        BSS123                      TopLayer    SOT-23-3L                          7557.087      2193.898      270      "100V 170mA 6O@10V 350mW 2.5V@250uA N Channel SOT-23 MOSFETs ROHS"                                                                   
D58        "0603 Red"                  TopLayer    0603_LED_S1                        7294.882      3479.060      270      "-40?~+85? Red 0603 Light Emitting Diodes (LED) ROHS"                                                                                
D57        "0603 LED Blue"             TopLayer    0603_LED_S1_-_BLUE                 7221.063      3478.272      270      "5mA -40?~+85? Blue 120° 0603 Light Emitting Diodes (LED) ROHS"                                                                      
D56        "B5819W  SL"                TopLayer    SOD-123                            7613.189      2460.630      90       "40V 600mV@1A 1A SOD-123 Schottky Barrier Diodes (SBD) ROHS"                                                                         
C143       10uF                        TopLayer    1206_C                             5802.166      2549.213      270      "Chip capacitors"                                                                                                                    
C142       100nF                       TopLayer    0603_C                             5964.567      2524.606      270      "50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
C141       1uF                         TopLayer    0603_C                             6047.542      1973.425      90       "Chip capacitors"                                                                                                                    
C140       100nF                       TopLayer    0603_C                             7780.512      2032.480      90       "50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                          
C139       4.7uF                       TopLayer    1206_C                             7701.772      2465.551      270      "Chip capacitors"                                                                                                                    
D54        "BAT54S Schottky"           TopLayer    SOT-23(SOT-23-3)                   3543.307      2803.149      180      "30V Dual 200mA 800mV@100mA SOT-23 Schottky Barrier Diodes (SBD) ROHS"                                                               
D53        "BAT54S Schottky"           TopLayer    SOT-23(SOT-23-3)                   3341.535      2800.197      0        "30V Dual 200mA 800mV@100mA SOT-23 Schottky Barrier Diodes (SBD) ROHS"                                                               
D35        "BAT54S Schottky"           TopLayer    SOT-23(SOT-23-3)                   3341.535      2667.323      0        "30V Dual 200mA 800mV@100mA SOT-23 Schottky Barrier Diodes (SBD) ROHS"                                                               
U41        INA280A3IDCKR               TopLayer    SOT65P210X110-5N                   7903.543      2199.803      90       "2.7-V to 120-V, 1.1-MHz, high-precision current sense amplifier in small (SC-70) package 5-SC70 -40 to 125"                         
U44        SN74LVC1G32DCKR             TopLayer    FP-DCK0005A-IPC_A                  7352.362      2012.795      0        "1-ch, 2-input 1.65-V to 5.5-V 32-mA drive strength OR gate 5-SC70 -40 to 125"                                                       
U43        EL357N(B)(TA)-G             TopLayer    SOP-4_P2.54                        4812.992      3538.386      270      "Optocoupler SOP-4, EL357N(B)(TA)-G, Everlight Electronics"                                                                          
R196       "1KO ±1%"                   TopLayer    0603_R                             4808.071      3331.693      180      "Chip resistor"                                                                                                                      
R184       "5.1KO ±1%"                 TopLayer    0603_R                             5029.528      3464.567      90       "Chip resistor"                                                                                                                      
R183       "100KO ±1%"                 TopLayer    0603_R                             6427.165      2160.433      90       "Chip resistor"                                                                                                                      
R180       "2.2KO ±1%"                 TopLayer    0603_R                             6038.386      2524.606      270      "Chip resistor"                                                                                                                      
R179       "39KO ±1%"                  TopLayer    0603_R                             5073.819      2214.567      270      "Chip resistor"                                                                                                                      
R178       "620O ±1%"                  TopLayer    0603_R                             5521.654      1992.323      90       "Chip resistor"                                                                                                                      
R177       "5.1KO ±1%"                 TopLayer    0603_R                             5447.835      1993.110      90       "Chip resistor"                                                                                                                      
R176       "18KO ±1%"                  TopLayer    0603_R                             5669.291      1993.898      270      "Chip resistor"                                                                                                                      
R175       "4.7O ±1%"                  TopLayer    0603_R                             5669.291      1865.157      270      "Chip resistor"                                                                                                                      
R167       "1.5KO ±1%"                 TopLayer    0603_R                             5388.779      2475.394      180      "Chip resistor"                                                                                                                      
R134       "2.2O ±1%"                  TopLayer    0603_R                             5388.779      2416.338      180      "Chip resistor"                                                                                                                      
R132       "20KO ±1%"                  TopLayer    0603_R                             5556.102      2199.016      270      "Chip resistor"                                                                                                                      
R129       "100O ±1%"                  TopLayer    1206_R                             6156.496      2775.591      0        "Chip resistor"                                                                                                                      
R30        "180KO ±1%"                 TopLayer    0603_R                             4926.181      2214.567      270      "Chip resistor"                                                                                                                      
R29        "2.2O ±1%"                  TopLayer    0603_R                             5000.000      2214.567      270      "Chip resistor"                                                                                                                      
Q13        ST3422A                     TopLayer    SOT-23-3L                          7273.622      1835.630      270      "60V 6A 28mO@10V,6A 2W 3V@250uA 38pF@15V N Channel 455pF@15V 10nC@10V -55?~+150?@(Tj) SOT-23-3L MOSFETs ROHS"                        
L12        "220R @ 100Mhz 2A"          TopLayer    0805_R                             206.693       2539.370      90       "150mO ±25% 220O@100MHz 0805 Ferrite Beads ROHS"                                                                                     
D49        ZMM5V6-M                    TopLayer    LL-34                              6318.898      2509.843      0        "Single 500mW 5.2V~6V 5.6V LL-34 Zener Diodes ROHS"                                                                                  
D47        SS210                       TopLayer    SMA(DO-214AC)_S1                   6156.496      2888.780      180      "100V 2A 850mV @ 2A SMA(DO-214AC) Schottky Barrier Diodes (SBD) ROHS"                                                                
D14        SS210                       TopLayer    SMA(DO-214AC)_S1                   6072.835      2657.480      0        "100V 2A 850mV @ 2A SMA(DO-214AC) Schottky Barrier Diodes (SBD) ROHS"                                                                
C106       470nF                       TopLayer    0603_C                             6193.808      1973.425      270      "Chip capacitors"                                                                                                                    
